ISBN,Title,Subtitle,Authors,Publish Year,eBook Link,Price
978-94-6091-370-9,Democratic Science Teaching: Building the Expertise to Empower Low-Income Minority Youth in Science,Unavailable,Sreyashi Jhumki Basu; Angela Calabrese Barton; Edna Tan,2011,https://doi.org/10.1007/978-94-6091-370-9,70
978-3-031-56318-8,Dependent Data in Social Sciences Research,"Forms, Issues, and Methods of Analysis",Mark Stemmler; Wolfgang Wiedermann; Francis L. Huang,2024,https://doi.org/10.1007/978-3-031-56318-8,260
978-3-319-20585-4,Dependent Data in Social Sciences Research,"Forms, Issues, and Methods of Analysis",Mark Stemmler; Alexander von Eye; Wolfgang Wiedermann,2015,https://doi.org/10.1007/978-3-319-20585-4,280
978-3-319-11608-2,"EcoJustice, Citizen Science and Youth Activism",Situated Tensions for Science Education,Michael P. Mueller; Deborah J. Tippins,2015,https://doi.org/10.1007/978-3-319-11608-2,180
978-90-481-3263-8,EPSA Epistemology and Methodology of Science,Launch of the European Philosophy of Science Association,Mauricio Suárez; Mauro Dorato; Miklós Rédei,2010,https://doi.org/10.1007/978-90-481-3263-8,280
978-90-481-3252-2,EPSA Philosophical Issues in the Sciences,Launch of the European Philosophy of Science Association,Mauricio Suárez; Mauro Dorato; Miklós Rédei,2010,https://doi.org/10.1007/978-90-481-3252-2,280
978-3-319-01899-7,European Philosophy of Science - Philosophy of Science in Europe and the Viennese Heritage,Unavailable,Maria Carla Galavotti; Elisabeth Nemeth; Friedrich Stadler,2014,https://doi.org/10.1007/978-3-319-01899-7,180
978-3-319-67726-2,Evolving Nature of Objectivity in the History of Science and its Implications for Science Education,Unavailable,Mansoor Niaz,2018,https://doi.org/10.1007/978-3-319-67726-2,100
978-3-319-23971-2,Excel 2010 for Environmental Sciences Statistics,A Guide to Solving Practical Problems,Thomas J. Quirk; Meghan H. Quirk; Howard F. Horton,2015,https://doi.org/10.1007/978-3-319-23971-2,419
978-3-319-00630-7,Excel 2010 for Physical Sciences Statistics,A Guide to Solving Practical Problems,Thomas J Quirk; Meghan Quirk; Howard Horton,2013,https://doi.org/10.1007/978-3-319-00630-7,419
978-3-319-23977-4,Excel 2013 for Environmental Sciences Statistics,A Guide to Solving Practical Problems,Thomas J. Quirk; Meghan Quirk; Howard F. Horton,2015,https://doi.org/10.1007/978-3-319-23977-4,419
978-3-319-28964-9,Excel 2013 for Physical Sciences Statistics,A Guide to Solving Practical Problems,Thomas J. Quirk; Meghan H. Quirk; Howard F. Horton,2016,https://doi.org/10.1007/978-3-319-28964-9,419
978-3-319-19177-5,Excel 2013 for Social Sciences Statistics,A Guide to Solving Practical Problems,Thomas J. Quirk,2015,https://doi.org/10.1007/978-3-319-19177-5,419
978-3-319-40057-0,Excel 2016 for Environmental Sciences Statistics,A Guide to Solving Practical Problems,Thomas J. Quirk; Meghan H. Quirk; Howard F. Horton,2016,https://doi.org/10.1007/978-3-319-40057-0,419
978-3-319-40075-4,Excel 2016 for Physical Sciences Statistics,A Guide to Solving Practical Problems,Thomas J. Quirk; Meghan H. Quirk; Howard F. Horton,2016,https://doi.org/10.1007/978-3-319-40075-4,419
978-3-319-39711-5,Excel 2016 for Social Science Statistics,A Guide to Solving Practical Problems,Thomas J. Quirk,2016,https://doi.org/10.1007/978-3-319-39711-5,419
978-3-030-66277-6,Excel 2019 for Environmental Sciences Statistics,A Guide to Solving Practical Problems,Thomas J. Quirk; Meghan H. Quirk; Howard F. Horton,2021,https://doi.org/10.1007/978-3-030-66277-6,419
978-3-030-63238-0,Excel 2019 for Physical Sciences Statistics,A Guide to Solving Practical Problems,Thomas J. Quirk; Meghan H. Quirk; Howard F. Horton,2021,https://doi.org/10.1007/978-3-030-63238-0,419
978-3-030-64333-1,Excel 2019 for Social Science Statistics,A Guide to Solving Practical Problems,Thomas J. Quirk,2021,https://doi.org/10.1007/978-3-030-64333-1,419
978-94-009-1742-2,"Feminism, Science, and the Philosophy of Science",Unavailable,J. Nelson,1996,https://doi.org/10.1007/978-94-009-1742-2,280
978-3-030-36859-3,Feyerabend’s Epistemological Anarchism,How Science Works and its Importance for Science Education,Mansoor Niaz,2020,https://doi.org/10.1007/978-3-030-36859-3,180
978-981-10-0376-9,Fire Science and Technology 2015,The Proceedings of 10th Asia-Oceania Symposium on Fire Science and Technology,Kazunori Harada; Ken Matsuyama; Keisuke Himoto; Yuji Nakamura; Kaoru Wakatsuki,2017,https://doi.org/10.1007/978-981-10-0376-9,578
978-94-010-1135-8,Formal Methods in the Methodology of Empirical Sciences,"Proceedings of the Conference for Formal Methods in the Methodology of Empirical Sciences, Warsaw, June 17–21, 1974",Grzegorz Malinowski; Marian Przelecki; A. Szaniawski; Ryszard Wójcicki,1976,https://doi.org/10.1007/978-94-010-1135-8,280
978-94-010-1141-9,Foundational Problems in the Special Sciences,"Part Two of the Proceedings of the Fifth International Congress of Logic, Methodology and Philosophy of Science, London, Ontario, Canada-1975",Robert E. Butts; Jaakko Hintikka,1977,https://doi.org/10.1007/978-94-010-1141-9,180
978-94-009-6975-9,"Foundations of Morality, Human Rights, and the Human Sciences",Phenomenology in a Foundational Dialogue with the Human Sciences,Anna-Teresa Tymieniecka; Calvin O. Schrag,1983,https://doi.org/10.1007/978-94-009-6975-9,400
978-94-010-1438-0,"Foundations of Probability Theory, Statistical Inference, and Statistical Theories of Science",Volume III Foundations and Philosophy of Statistical Theories in the Physical Sciences,W.L. Harper; C.A. Hooker,1976,https://doi.org/10.1007/978-94-010-1438-0,180
978-1-4684-8706-0,Fundamental Phenomena in the Materials Sciences,"Volume 3: Surface Phenomena, Proceedings of the Third Symposium on Fundamental Phenomena in the Materials Sciences Held January 25–26, 1965, at Boston, Mass.",L. J. Bonis; P. L. de Bruyn; J. J. Duga,1966,https://doi.org/10.1007/978-1-4684-8706-0,100
978-981-99-5634-0,Handbook of Islamic Philosophy of Science,"Economics, Society and Science",Masudul Alam Choudhury,2024,https://doi.org/10.1007/978-981-99-5634-0,1100
978-94-017-1780-9,"Historical and Philosophical Dimensions of Logic, Methodology and Philosophy of Science","Part Four of the Proceedings of the Fifth International Congress of Logic, Methodology and Philosophy of Science, London, Ontario, Canada-1975",Robert E. Butts; Jaakko Hintikka,1977,https://doi.org/10.1007/978-94-017-1780-9,100
978-94-017-7749-0,How Science Works: Evolution,The Nature of Science & The Science of Nature,John Ellis,2016,https://doi.org/10.1007/978-94-017-7749-0,130
978-94-010-0379-7,Ideas for a Hermeneutic Phenomenology of the Natural Sciences,Volume II: On the Importance of Methodical Hermeneutics for a Hermeneutic Phenomenology of the Natural Sciences,J.J. Kockelmans,2002,https://doi.org/10.1007/978-94-010-0379-7,180
978-3-319-29526-8,Imaginative Science Education,The Central Role of Imagination in Science Education,Yannis Hadzigeorgiou,2016,https://doi.org/10.1007/978-3-319-29526-8,180
978-3-030-99546-1,Integrating Data Science and Earth Science,Challenges and Solutions,Laurens M. Bouwer; Doris Dransch; Roland Ruhnke; Diana Rechid; Stephan Frickenhaus; Jens Greinert,2022,https://doi.org/10.1007/978-3-030-99546-1,0
978-3-642-54365-4,International Conference on Science Education 2012 Proceedings,Science Education: Policies and Social Responsibilities,Baohui Zhang; Gavin W. Fulmer; Xiufeng Liu; Weiping Hu; Shujin Peng; Bing Wei,2014,https://doi.org/10.1007/978-3-642-54365-4,180
978-94-017-0475-5,"In the Scope of Logic, Methodology and Philosophy of Science","Volume Two of the 11th International Congress of Logic, Methodology and Philosophy of Science, Cracow, August 1999",Peter Gärdenfors; Jan Wolenski; K. Kijania-Placek,2002,https://doi.org/10.1007/978-94-017-0475-5,280
978-94-009-8443-1,Is Science Sexist?,And Other Problems in the Biomedical Sciences,M. Ruse,1981,https://doi.org/10.1007/978-94-009-8443-1,180
978-3-031-41800-6,Issues in Science and Theology: Global Sustainability,Science and Religion in Dialogue,Michael Fuller; Mark Harris; Joanna Leidenhag; Anne Runehov,2023,https://doi.org/10.1007/978-3-031-41800-6,260
978-3-658-33857-2,Journalistic Practice: Science Storytelling,Why science must tell stories,Martin W. Angler,2021,https://doi.org/10.1007/978-3-658-33857-2,30
978-981-16-4001-8,Language Literacy and Science,Enhancing Engagement and Achievement in Science,Azra Moeed; Brendan Cooney,2021,https://doi.org/10.1007/978-981-16-4001-8,100
978-3-319-11734-8,Linear Models in Matrix Form,A Hands-On Approach for the Behavioral Sciences,Jonathon D. Brown,2014,https://doi.org/10.1007/978-3-319-11734-8,419
978-94-009-2711-7,Mandated Science: Science and Scientists in the Making of Standards,Science and Scientists in the Making of Standards,L. Salter; W. Leiss; Edwin Levy,1988,https://doi.org/10.1007/978-94-009-2711-7,180
978-3-319-60300-1,Modelling with the Master Equation,Solution Methods and Applications in Social and Natural Sciences,Günter Haag,2017,https://doi.org/10.1007/978-3-319-60300-1,200
978-3-319-09222-5,Modern Climate Change Science,An Overview of Today’s Climate Change Science,G. Thomas Farmer,2015,https://doi.org/10.1007/978-3-319-09222-5,130
978-3-0348-6513-5,Modern Trends of Colloid Science in Chemistry and Biology,"International Symposium on Colloid & Surface Science, 1984 held from, October 17–18, 1984 at Interlaken, Switzerland",EICKE,1985,https://doi.org/10.1007/978-3-0348-6513-5,168
978-94-009-1878-8,"Nature, Experiment, and the Sciences",Essays on Galileo and the History of Science in Honour of Stillman Drake,Trevor H. Levere; W.R. Shea,1990,https://doi.org/10.1007/978-94-009-1878-8,280
978-3-030-57239-6,Nature of Science in Science Instruction,Rationales and Strategies,William McComas,2020,https://doi.org/10.1007/978-3-030-57239-6,300
978-94-009-3281-4,New Developments in Biosciences: Their Implications for Laboratory Animal Science,"Proceedings of the Third Symposium of the Federation of European Laboratory Animal Science Associations, held in Amsterdam, The Netherlands, 1–5 June 1987",A.C. Beynen; H.A. Solleveld,1988,https://doi.org/10.1007/978-94-009-3281-4,100
978-981-97-5685-8,New Developments in Environmental Science and Engineering,Proceedings of the 2023 13th International Conference on Environmental Science and Engineering (ICESE 2023),Xueming Chen,2024,https://doi.org/10.1007/978-981-97-5685-8,340
978-3-0346-0504-5,New Essays on Leibniz Reception,In Science and Philosophy of Science 1800-2000,Ralph Krömer; Yannick Chin-Drian,2012,https://doi.org/10.1007/978-3-0346-0504-5,100
978-94-017-2428-9,"Nietzsche, Epistemology, and Philosophy of Science",Nietzsche and the Sciences II,B.E. Babich; Robert S. Cohen,1999,https://doi.org/10.1007/978-94-017-2428-9,280
978-3-319-14349-1,Objectivity in Science,New Perspectives from Science and Technology Studies,Flavia Padovani; Alan Richardson; Jonathan Y. Tsou,2015,https://doi.org/10.1007/978-3-319-14349-1,200
978-0-387-35611-2,Organizational Semiotics,"Evolving a Science of Information Systems IFIP TC8 / WG8.1 Working Conference on Organizational Semiotics: Evolving a Science of Information Systems July 23–25, 2001, Montreal, Quebec, Canada",Kecheng Liu; Rodney J. Clarke; Peter Bøgh Andersen; Ronald K. Stamper; El-Sayed Abou-Zeid,2002,https://doi.org/10.1007/978-0-387-35611-2,180
978-0-230-59414-2,"Participatory Democracy, Science and Technology",An Exploration in the Philosophy of Science,K. Rogers,2008,https://doi.org/10.1057/9780230594142,100
978-94-010-2126-5,Philosophical Foundations of Science,"Proceedings of Section L, 1969, American Association for the Advancement of Science",Raymond J. Seeger; Robert S. Cohen,1974,https://doi.org/10.1007/978-94-010-2126-5,400
978-3-319-50398-1,Preparing Informal Science Educators,Perspectives from Science Communication and Education,Patricia G Patrick,2017,https://doi.org/10.1007/978-3-319-50398-1,400
978-90-481-3898-2,Presidential Science Advisors,"Perspectives and Reflections on Science, Policy and Politics",Roger Pielke; Roberta A. Klein,2010,https://doi.org/10.1007/978-90-481-3898-2,180
978-94-017-2766-2,"Probabilistic Thinking, Thermodynamics and the Interaction of the History and Philosophy of Science",Proceedings of the 1978 Pisa Conference on the History and Philosophy of Science Volume II,Jaakko Hintikka; D. Gruender; E. Agazzi,1981,https://doi.org/10.1007/978-94-017-2766-2,280
978-3-031-64597-6,"Probability and Statistical Models in Operations Research, Computer and Management Sciences",Including Applications to Reliability Models,Syouji Nakamura; Katsushige Sawaki; Toshio Nakagawa,2024,https://doi.org/10.1007/978-3-031-64597-6,340
978-3-031-62672-2,Proceedings of The First International Conference on Green Sciences,Environmental Science for Green and Sustainable Environment,Farid El-Dossoki; Mohamed Hassan; Amer Shehata,2024,https://doi.org/10.1007/978-3-031-62672-2,539
978-94-6463-084-8,"Proceedings of the First Mandalika International Multi-Conference on Science and Engineering 2022, MIMSE 2022 (Informatics and Computer Science)",Unavailable,I Gede Pasek Suta Wijaya; Junseok Hwang; Agung Mulyo Widodo; Bambang Irawan,2022,https://doi.org/10.2991/978-94-6463-084-8,0
978-94-6463-364-1,Proceedings of the International Conference on Applied Science and Technology on Engineering Science 2023 (iCAST-ES 2023),Unavailable,M. Udin Harun Al Rasyid; Mohammad Robihul Mufid,2024,https://doi.org/10.2991/978-94-6463-364-1,0
978-981-19-0308-3,"Proceedings of the International Conference on Radioscience, Equatorial Atmospheric Science and Environment and Humanosphere Science, 2021",Unavailable,Erma Yulihastin; Prayitno Abadi; Peberlin Sitompul; Wendi Harjupa,2022,https://doi.org/10.1007/978-981-19-0308-3,300
978-2-38476-293-4,Proceedings of the International Conference on Science Technology and Social Sciences – Social Science Track (ICONSTAS-SS 2023),Unavailable,Rafeah Legino; Yarina Ahmad,2024,https://doi.org/10.2991/978-2-38476-293-4,0
978-981-13-0203-9,"Proceedings of the Regional Conference on Science, Technology and Social Sciences (RCSTSS 2016)",Social Sciences,Mohd Yusri Mohamad Noor; Badli Esham Ahmad; Mohd Rozaidi Ismail; Hasnizawati Hashim; Mohd Amli Abdullah Baharum,2019,https://doi.org/10.1007/978-981-13-0203-9,280
978-90-481-2431-2,Progressing Science Education,Constructing the Scientific Research Programme into the Contingent Nature of Learning Science,Keith S. Taber,2009,https://doi.org/10.1007/978-90-481-2431-2,280
978-94-009-0113-1,Québec Studies in the Philosophy of Science,"Part II: Biology, Psychology, Cognitive Science and Economics Essays in Honor of Hugues Leblanc",Mathieu Marion; Robert S. Cohen,1996,https://doi.org/10.1007/978-94-009-0113-1,100
978-94-009-1575-6,Québec Studies in the Philosophy of Science,"Part I: Logic, Mathematics, Physics and History of Science",Mathieu Marion; Robert S. Cohen,1995,https://doi.org/10.1007/978-94-009-1575-6,180
978-94-009-9032-6,Rationality in Science,Studies in the Foundations of Science and Ethics,R. Hilpinen,1980,https://doi.org/10.1007/978-94-009-9032-6,100
978-3-030-18641-8,Recent Researches in Earth and Environmental Sciences,"2nd International Conference on Advanced Science and Engineering 2019 (ICOASE2019) Zakho-Duhok, Kurdistan Region—Iraq, April 2–4, 2019",Yaseen T. Mustafa; Sattar Sadkhan; Subhi Zebari; Karwan Jacksi,2019,https://doi.org/10.1007/978-3-030-18641-8,280
978-3-031-48754-5,"Recent Research on Environmental Earth Sciences, Geomorphology, Soil Science and Paleoenvironments","Proceedings of the 2nd MedGU, Marrakesh 2022 (Volume 4)",Attila Çiner; Maurizio Barbieri; Md Firoz Khan; Ilker Ugulu; Veysel Turan; Jasper Knight; Jesús Rodrigo-Comino; Haroun Chenchouni; Ahmed E. Radwan; Amjad Kallel; Dionysia Panagoulia; Carla Candeias; Arkoprovo Biswas; Helder I. Chaminé; Matteo Gentilucci; Mourad Bezzeghoud; Zeynal Abiddin Ergüler,2024,https://doi.org/10.1007/978-3-031-48754-5,418
978-3-031-42917-0,"Recent Research on Environmental Earth Sciences, Geomorphology, Soil Science, Paleoclimate, and Karst","Proceedings of the 1st MedGU, Istanbul 2021 (Volume 4)",Attila Çiner; Md Firoz Khan; Amjad Kallel; Jesús Rodrigo-Comino; Mario Parise; Rahim Barzegar; Zeynal Abiddin Ergüler; Nabil Khelifi; Imran Ali,2023,https://doi.org/10.1007/978-3-031-42917-0,438
978-94-017-9057-4,Reconceptualizing the Nature of Science for Science Education,"Scientific Knowledge, Practices and Other Family Categories",Sibel Erduran; Zoubeida R. Dagher,2014,https://doi.org/10.1007/978-94-017-9057-4,180
978-981-10-0534-3,"Regional Conference on Science, Technology and Social Sciences (RCSTSS 2014)",Science and Technology,Nor Azizah Yacob; Mesliza Mohamed; Megat Ahmad Kamal Megat Hanafiah,2016,https://doi.org/10.1007/978-981-10-0534-3,280
978-981-10-1458-1,"Regional Conference on Science, Technology and Social Sciences (RCSTSS 2014)",Business and Social Sciences,Mohd Amli Abdullah; Wan Kalthom Yahya; Nazirah Ramli; Siti Rosiah Mohamed; Badli Esham Ahmad,2016,https://doi.org/10.1007/978-981-10-1458-1,400
978-981-13-0074-5,"Regional Conference on Science, Technology and Social Sciences (RCSTSS 2016)",Theoretical and Applied Sciences,Nor Azizah Yacob; Nur Asmaliza Mohd Noor; Nor Yuziah Mohd Yunus; Rahmah Lob Yussof; Shaikh Abdul Karim Yamani Zakaria,2018,https://doi.org/10.1007/978-981-13-0074-5,400
978-0-387-22658-3,Relative Distribution Methods in the Social Sciences,Unavailable,Mark S. Handcock; Martina Morris,1999,https://doi.org/10.1007/b97852,419
978-3-031-52830-9,Rethinking Science Education in Latin-America,Diversity and Equity for Latin American Students in Science Education,Ainoa Marzabal; Cristian Merino,2024,https://doi.org/10.1007/978-3-031-52830-9,300
978-90-8686-752-3,Sacred Science?,On science and its interrelations with religious worldviews,Simen Andersen Øyen; Tone Lund-Olsen; Nora Sørensen Vaage,2012,https://doi.org/10.3920/978-90-8686-752-3,76
978-94-011-4177-2,Science and Art Symposium 2000,"3rd International Conference on Flow Interaction of Science and Art with Exhibition/Lectures on Interaction of Science & Art, 28.2 — 3.3 2000 at the ETH Zurich",A. Gyr; Petros D. Koumoutsakos; U. Burr,2000,https://doi.org/10.1007/978-94-011-4177-2,280
978-3-030-89477-1,Science and Global Challenges of the 21st Century - Science and Technology,Proceedings of the International Perm Forum “Science and Global Challenges of the 21st Century”,Alvaro Rocha; Ekaterina Isaeva,2022,https://doi.org/10.1007/978-3-030-89477-1,538
978-1-4020-5632-1,Science and Its History,A Reassessment of the Historiography of Science,Joseph Agassi,2008,https://doi.org/10.1007/978-1-4020-5632-1,400
978-3-031-66387-1,Science and Religion,Approaches from Science and Technology Studies,Zara Thokozani Kamwendo,2024,https://doi.org/10.1007/978-3-031-66387-1,200
978-94-011-6456-6,Science and Society,Studies in the Sociology of Science,Joseph Agassi,1981,https://doi.org/10.1007/978-94-011-6456-6,180
978-3-319-29528-2,Science and the Economic Crisis,"Impact on Science, Lessons from Science",Francesco Sylos Labini,2016,https://doi.org/10.1007/978-3-319-29528-2,80
978-88-470-2556-1,Science Centres and Science Events,A Science Communication Handbook,Anne-Marie Bruyas; Michaela Riccio,2013,https://doi.org/10.1007/978-88-470-2556-1,170
978-94-010-0730-6,Science Education and Culture,The Contribution of History and Philosophy of Science,Fabio Bevilacqua; Enrico Giannetto; Michael Matthews,2001,https://doi.org/10.1007/978-94-010-0730-6,180
978-3-030-75297-2,Science | Environment | Health,Towards a Science Pedagogy of Complex Living Systems,Albert Zeyer; Regula Kyburz-Graber,2021,https://doi.org/10.1007/978-3-030-75297-2,180
978-90-481-3949-1,Science | Environment | Health,Towards a Renewed Pedagogy for Science Education,Albert Zeyer; Regula Kyburz-Graber,2012,https://doi.org/10.1007/978-90-481-3949-1,180
978-3-031-61113-1,Science for Humans,"Mind, Life, The Formal-&-Natural Sciences, and A New Concept of Nature",Robert Hanna,2024,https://doi.org/10.1007/978-3-031-61113-1,220
978-94-009-2957-9,Science in Reflection,"The Israel Colloquium: Studies in History, Philosophy, and Sociology of Science Volume 3",Edna Ullmann-Margalit,1988,https://doi.org/10.1007/978-94-009-2957-9,180
978-1-4757-6480-2,Science on the Web,"A Connoisseur’s Guide to Over 500 of the Best, Most Useful, and Most Fun Science Websites",Edward J. Jr. Renehan,1996,https://doi.org/10.1007/978-1-4757-6480-2,100
978-94-015-7672-7,Science under Scrutiny,The Place of History and Philosophy of Science,R. W. Home,1983,https://doi.org/10.1007/978-94-015-7672-7,180
978-90-481-2779-5,"Science, Worldviews and Education",Reprinted from the Journal Science & Education,Michael Matthews,2009,https://doi.org/10.1007/978-90-481-2779-5,280
978-3-642-95230-2,Scientists in Search of Their Conscience,"Proceedings of a Symposium on The Impact of Science on Society organised by The European Committee of The Weizmann Institute of Science Brussels, June 28–29, 1971",Anthony R. Michaelis; Hugh Harvey,1973,https://doi.org/10.1007/978-3-642-95230-2,100
